ticker,timestamp,bid,ask,bid_size,ask_size,feed
NUAI,2026-09-21T12:54:52.659990+00:00,6.84,6.87,100,900,SIP
WBD,2026-09-21T12:54:58.217097+00:00,29.75,29.76,1000,400,SIP
