ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap,premarket_rvol,premarket_volume_metric_source,premarket_volume_gate_pass,atr_pct,resistance_price,resistance_room_pct,market_relative_strength_pct,sector_relative_strength_pct,catalyst_quality,catalyst_headline,catalyst_age_hours,catalyst_source,bid,ask,spread_pct,spread_source,score,pts_catalyst_quality,pts_relative_premarket_volume,pts_gap_quality,pts_liquidity_dollar_volume,pts_room_to_resistance,pts_atr_suitability,pts_sector_market_relative_strength,pts_execution_spread,premarket_gate_count,premarket_a_grade,premarket_failures,premarket_grade
SMCI,"Super Micro Computer, Inc. - Common Stock",Technology,25153009664.0,1631469133.7378376,35.6998,36.16,560344.0,20262039.04,1.241950498541024,1.2890828520047526,True,True,True,5.581702187041694,True,,nasdaq_pm_volume_pct_adv,False,5.969500119707226,40.45000076293945,11.863940162996279,1.0129959663465193,0.8525795503883105,0.52,"NLST Stock Rallies After ITC Patent Action Against MU, SMCI, HPE – Roth Capital Sees Settlement Upside - Stocktwits",18.03538092861111,Google News RSS,35.7,35.76,0.16792611251048184,Nasdaq quote,60.702,13.0,2.484,9.668,15.0,10.0,5.0,1.949,3.601,4,False,"pm_volume_strength,score70",B
FPS,"Forgent Power Solutions, Inc. Class A Common Stock",Industrials,9015661568.0,158165882.04246807,31.365,32.02,144025.0,4611680.5,2.9157239478244423,2.088315000797092,True,True,True,5.369469456968804,True,,nasdaq_pm_volume_pct_adv,True,6.52047731942961,33.09000015258789,3.3416619381258172,1.8122281151388586,1.608599276781697,0.8,Forgent Power Solutions (NYSE:FPS) Shares Gap Up Following Earnings Beat - MarketBeat,22.65288092861111,Google News RSS,32.0,32.5,1.550387596899225,Nasdaq quote,60.672,20.0,5.831,15.0,7.933,4.177,5.0,2.731,0.0,4,False,"spread,score70",B
IREN,IREN Limited - Ordinary Shares,Financial Services,17149432832.0,1826451104.580104,41.83,42.3,710708.0,30062948.4,1.6459760857880388,1.1235955056179805,True,True,True,5.610694244174496,True,,nasdaq_pm_volume_pct_adv,False,6.888887198621137,47.29999923706055,11.820329165627786,0.8475086199597472,1.1060053561017027,0.52,"IREN Stock Extends Rally After $2.8B AI Contracts Disclosure: Goldman Sachs Lauds Customer Diversification, Keeps ‘Neutral’ Rating - Stocktwits",23.27454759527778,Google News RSS,42.16,42.24,0.1895734597156526,Nasdaq quote,60.09,13.0,3.292,8.427,15.0,10.0,5.0,1.951,3.42,4,False,"pm_volume_strength,score70",B
CRML,Critical Metals Corp. - Ordinary Shares,Basic Materials,998858176.0,54186135.43847637,6.41,6.58,145613.0,958133.54,1.7682263779225906,2.652106084243377,True,True,True,5.166656484540756,True,,nasdaq_pm_volume_pct_adv,False,8.116588869976884,7.5,13.981762917933139,2.3760191985851438,2.395897964416815,0.57,European Lithium Receives Court Orders to Convene Scheme Meetings for CRML Merger - Kalkine,31.696214261944448,Google News RSS,6.61,6.62,0.15117157974300507,Nasdaq quote,58.738,14.25,3.536,15.0,3.828,10.0,5.0,3.384,3.74,4,False,"pm_volume_strength,score70",WATCH
CRWV,"CoreWeave, Inc. - Class A Common Stock",Technology,49296338944.0,2193669442.256688,80.92,83.52,655441.0,54742432.32,2.495473167720518,3.213049925852696,True,True,True,6.475047551713785,True,,nasdaq_pm_volume_pct_adv,True,6.449437885253105,100.58100128173828,20.42744406338397,2.936963040194463,2.776546624236254,0.0,,inf,Google News RSS,83.01,83.19,0.21660649819493696,Nasdaq quote,57.059,0.0,4.991,15.0,15.0,10.0,5.0,3.873,3.195,4,False,"catalyst,score70",WATCH
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,9067992064.0,1056645776.961158,94.71,97.91,192519.0,18849535.29,1.7839029598178109,3.3787350860521537,True,True,True,6.261228455926121,True,,nasdaq_pm_volume_pct_adv,False,6.658008424659366,113.63999938964844,16.065774067662588,3.1026482003939204,2.9422317844357115,0.0,,inf,Google News RSS,97.57,97.89,0.3274327228077432,Nasdaq quote,54.877,0.0,3.568,15.0,15.0,10.0,5.0,4.038,2.271,3,False,"catalyst,pm_volume_strength,score70",WATCH
AMKR,"Amkor Technology, Inc. - Common Stock",Technology,12255436800.0,212927323.68833083,46.35,47.42,65474.0,3104777.08,1.458139343612176,2.3085221143473555,True,True,True,5.395042709774626,True,,nasdaq_pm_volume_pct_adv,False,5.412960892980822,52.150001525878906,9.97469743964341,2.0324352286891223,1.8720188127309134,0.39,Amkor: Customer Commitments Can Turn Packaging Capacity Into Earnings Power (AMKR) - Seeking Alpha,41.46593648416667,Google News RSS,47.05,47.52,0.9939727186211399,Nasdaq quote,54.707,9.75,2.916,15.0,9.073,10.0,5.0,2.968,0.0,3,False,"pm_volume_strength,spread,score70",WATCH
ARIS,Aris Mining Corporation Common Shares,Basic Materials,4033655808.0,25156179.25160866,18.56,18.9,53651.0,1014003.9,4.030834292672476,1.8318965517241328,True,True,True,4.824010560645221,True,,nasdaq_pm_volume_pct_adv,True,5.106197192825698,20.80500030517578,10.07936669405176,1.5558096660658995,1.5756884318975708,0.57,Ball Horticultural expands tropical portfolio through acquisition of Aris Horticulture's Tradewinds hibiscus and selected tropical commercial business - Produce News,25.08704759527778,Google News RSS,18.72,21.0,11.480362537764357,Nasdaq quote,54.503,14.25,8.062,13.739,0.888,10.0,5.0,2.564,0.0,4,False,"spread,score70",WATCH
AXTI,AXT Inc - Common Stock,Technology,4412093952.0,630900467.5219822,57.69,59.1842,272664.0,16137400.7088,2.557836226082322,2.590050268677402,True,True,True,5.910034876292062,True,,nasdaq_pm_volume_pct_adv,True,9.430604760857255,73.94000244140625,24.931996109445187,2.3139633830191686,2.1535469670609597,0.0,,inf,Google News RSS,58.83,59.0,0.28855130272426666,Nasdaq quote,54.196,0.0,5.116,15.0,13.235,10.0,5.0,3.25,2.595,4,False,"catalyst,score70",WATCH
MRVL,"Marvell Technology, Inc. - Common Stock",Technology,205776404480.0,5370244990.01152,221.4,225.9393,332447.0,75112842.4671,1.398685583372964,2.0502710027100246,True,True,True,6.207665059382926,True,,nasdaq_pm_volume_pct_adv,False,5.773990249683982,241.8800048828125,7.055304182500555,1.7741841170517914,1.6137677010935825,0.0,,inf,Google News RSS,225.46,225.7,0.10639241067469665,Nasdaq quote,53.439,0.0,2.797,15.0,15.0,8.819,5.0,2.71,4.113,3,False,"catalyst,pm_volume_strength,score70",WATCH
NBIS,Nebius Group N.V. - Class A Ordinary Shares,Communication Services,58325491712.0,4363970412.483281,207.79,211.664,289878.0,61356736.992,1.4059842572829326,1.8643823090620293,True,True,True,6.0850481825755205,True,,nasdaq_pm_volume_pct_adv,False,6.474548311337433,250.27200317382812,18.240231297635944,1.588295423403796,1.9412125912315337,0.0,,inf,Google News RSS,211.51,211.89,0.1794992914501632,Nasdaq quote,53.028,0.0,2.812,13.983,15.0,10.0,5.0,2.729,3.504,3,False,"catalyst,pm_volume_strength,score70",WATCH
B,Barrick Mining Corporation Common Shares,Basic Materials,72188493824.0,453401299.7671318,42.7,43.3866,136126.0,5906044.311600001,1.30260859742426,1.6079625292739983,True,True,True,5.341166952873821,True,,nasdaq_pm_volume_pct_adv,False,3.4046159918847256,45.38999938964844,4.617553322105072,1.331875643615765,1.3517544094474363,0.6000000000000001,"BSX Stock Picks Up Steam After $2B Buyback, $1.5B Investment By Company – But Here’s Why BofA Slashed Its Price Target - Stocktwits",15.858714261944444,Google News RSS,43.25,43.55,0.6912442396313299,Nasdaq quote,52.467,15.0,2.605,12.06,11.969,5.772,2.721,2.34,0.0,3,False,"pm_volume_strength,spread,score70",WATCH
BE,Bloom Energy Corporation Class A Common Stock,Industrials,77858308096.0,2830509729.5942183,259.3,267.2,343405.0,91757816.0,3.2417417626455003,3.046664095642116,True,True,True,6.539894744502296,True,,nasdaq_pm_volume_pct_adv,True,6.369306451750169,280.47900390625,4.9696870906624335,2.7705772099838826,2.566948371626721,0.0,,inf,Google News RSS,266.83,268.09,0.471098482015999,Nasdaq quote,52.458,0.0,6.483,15.0,15.0,6.212,5.0,3.689,1.074,4,False,"catalyst,score70",WATCH
FRO,Frontline Plc Ordinary Shares,Energy,10534515712.0,101047561.0529314,51.59,52.5,89053.0,4675282.5,4.626813800632915,1.7639077340569909,True,True,True,5.219686410080468,True,,nasdaq_pm_volume_pct_adv,True,3.253062760748831,52.939998626708984,0.8380926223028329,1.4878208483987576,2.8764342733351156,0.52,3 US Defense Supply Chain Stocks Getting Fresh Attention From Pentagon Spending - simplywall.st,13.4842698175,Google News RSS,52.61,52.68,0.1329660936461208,Nasdaq quote,52.186,13.0,9.254,13.229,6.216,1.048,2.504,3.043,3.892,5,False,score70,WATCH
VRT,"Vertiv Holdings, LLC Class A Common Stock",Industrials,95523258368.0,1140511151.0700736,234.6,239.5834,91646.0,21956860.2764,1.9251771677812344,2.1242114236999177,True,True,True,5.858600512667566,True,,nasdaq_pm_volume_pct_adv,False,6.182973443447645,290.1588885662361,21.109763266668757,1.8481245380416844,1.6444956996845228,0.0,,inf,Google News RSS,238.5,239.8,0.5435918879364463,Nasdaq quote,52.087,0.0,3.85,15.0,15.0,10.0,5.0,2.767,0.47,3,False,"catalyst,pm_volume_strength,score70",WATCH
GLW,Corning Incorporated Common Stock,Technology,141625327616.0,1339650723.825238,143.53,146.5,131107.0,19207175.5,1.4337450171456512,2.069253814533556,True,True,True,5.827195728787601,True,,nasdaq_pm_volume_pct_adv,False,5.238641720978138,171.3000030517578,16.92832972816234,1.7931669288753227,1.6327505129171138,0.0,,inf,Google News RSS,146.05,146.85,0.546261522703983,Nasdaq quote,51.044,0.0,2.867,15.0,15.0,10.0,5.0,2.729,0.448,3,False,"catalyst,pm_volume_strength,score70",WATCH
WDC,Western Digital Corporation - Common Stock,Technology,165854232576.0,2872037139.227249,412.5,418.25,97932.0,40960059.0,1.4261674558644712,1.3939393939393918,True,True,True,5.805079056292258,True,,nasdaq_pm_volume_pct_adv,False,5.887456967931935,495.489990234375,18.467421454722064,1.1178525082811586,0.9574360923229497,0.0,,inf,Google News RSS,418.0,418.24,0.057399789534107216,Nasdaq quote,49.883,0.0,2.852,10.455,15.0,10.0,5.0,2.054,4.522,3,False,"catalyst,pm_volume_strength,score70",WATCH
AEHR,Aehr Test Systems - Common Stock,Technology,3166304000.0,266166202.0878464,82.04,83.92,97644.0,8194284.48,3.0786344831623405,2.2915650901998985,True,True,True,5.598158329866456,True,,nasdaq_pm_volume_pct_adv,True,9.480116884568464,102.79000091552734,22.485701758254706,2.0154782045416653,1.8550617885834564,0.0,,inf,Google News RSS,83.5,84.0,0.5970149253731344,Nasdaq quote,49.061,0.0,6.157,15.0,9.928,10.0,5.0,2.951,0.025,4,False,"catalyst,score70",WATCH
OUST,"Ouster, Inc. - Common Stock",Technology,2564314880.0,88302539.85386887,32.79,33.33,41511.0,1383561.63,1.5668423946691052,1.6468435498627532,True,True,True,4.929039210727289,True,,nasdaq_pm_volume_pct_adv,False,5.396683172868766,38.03900146484375,14.128417236254887,1.37075666420452,1.210340248246311,0.39,This Satellite Stock Has Gained Nearly 500% This Year – The Company Has Now Secured An $18M Contract From An International Defense Customer - Stocktwits,36.65010315083334,Google News RSS,33.22,33.4,0.5403782647853489,Nasdaq quote,48.739,9.75,3.134,12.351,5.7,10.0,5.0,2.307,0.497,4,False,"pm_volume_strength,score70",WATCH
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Materials,10089792512.0,191593197.97529903,18.65,19.18,309598.0,5938089.64,3.099321741456376,2.8418230563002744,True,True,True,5.699255124198616,True,,nasdaq_pm_volume_pct_adv,True,5.306867982775448,21.489999771118164,12.043794427101995,2.565736170642041,2.5856149364737124,0.0,,inf,Google News RSS,19.02,19.19,0.8898194190002706,Nasdaq quote,48.441,0.0,6.199,15.0,8.668,10.0,5.0,3.574,0.0,3,False,"catalyst,spread,score70",WATCH
CIFR,Cipher Digital Inc. - Common Stock,Technology,6432976384.0,541032824.5964905,15.09,15.42,414155.0,6386270.1,1.1803849618113218,2.186878727634189,True,True,True,5.574413554765497,True,,nasdaq_pm_volume_pct_adv,False,8.907263336831914,18.690000534057617,21.206229144342515,1.9107918419759558,1.7503754260177469,0.0,,inf,Google News RSS,15.4,15.5,0.647249190938509,Nasdaq quote,47.854,0.0,2.361,15.0,12.646,10.0,5.0,2.847,0.0,2,False,"catalyst,pm_volume_strength,spread,score70",WATCH
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,329319219200.0,3982742234.3614073,544.0,555.0469,213462.0,118481421.3678,2.974870438402784,2.030680147058828,True,True,True,6.263917106380857,True,,nasdaq_pm_volume_pct_adv,True,6.233577386216307,568.6699829101562,2.454402125326016,1.7545932614005948,1.594176845442386,0.0,,inf,Google News RSS,546.26,549.0,0.5003378193305715,Nasdaq quote,47.539,0.0,5.95,15.0,15.0,3.068,5.0,2.69,0.831,4,False,"catalyst,score70",WATCH
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Technology,23621834752.0,277873638.20890653,192.85,200.26,19105.0,3825967.3,1.3768730724731872,3.842364532019693,True,True,True,5.99583061990923,True,,nasdaq_pm_volume_pct_adv,False,5.277068273681436,225.52000427246094,12.613604450444903,3.56627764636146,3.405861230403251,0.0,,inf,Google News RSS,200.0,201.48,0.7372720932549515,Nasdaq quote,47.349,0.0,2.754,15.0,10.093,10.0,5.0,4.502,0.0,2,False,"catalyst,pm_volume_strength,spread,score70",WATCH
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Basic Materials,3205763840.0,97221609.01175448,9.64,9.888,383521.0,3792255.648,3.900630411847536,2.5726141078838083,True,True,True,5.458471421699015,True,,nasdaq_pm_volume_pct_adv,True,5.865695710210849,11.520000457763672,16.504858998419003,2.296527222225575,2.3164059880572463,0.0,,inf,Google News RSS,9.8,9.98,1.8200202224469129,Nasdaq quote,47.173,0.0,7.801,15.0,6.068,10.0,5.0,3.304,0.0,3,False,"catalyst,spread,score70",WATCH
APLD,Applied Digital Corporation - Common Stock,Technology,7474347520.0,408403523.66514575,23.54,23.9095,309922.0,7410080.059,1.814401597836262,1.5696686491079026,True,True,True,5.363022228352,True,,nasdaq_pm_volume_pct_adv,False,6.535655879168935,28.969999313354492,21.16522433908903,1.2935817634496694,1.1331653474914605,0.0,,inf,Google News RSS,23.84,23.9,0.251361541684117,Nasdaq quote,47.104,0.0,3.629,11.773,11.568,10.0,5.0,2.229,2.905,3,False,"catalyst,pm_volume_strength,score70",WATCH
COIN,"Coinbase Global, Inc. - Class A Common Stock",Financial Services,45353566208.0,1695557990.8574402,172.2,173.56,294835.0,51171562.6,3.0179777321637133,0.7897793263647035,True,True,True,5.591348199369653,True,,nasdaq_pm_volume_pct_adv,True,7.07700883412398,193.22000122070312,11.327495517805431,0.5136924407064702,0.7721891768484257,0.0,,inf,Google News RSS,172.88,173.2,0.18492834026814217,Nasdaq quote,47.035,0.0,6.036,5.923,15.0,10.0,5.0,1.617,3.459,4,False,"catalyst,score70",WATCH
WULF,TeraWulf Inc. - Common Stock,Financial Services,8155642368.0,456591888.8423464,14.57,14.84,372558.0,5528760.72,1.2108758072811472,1.853122855181888,True,True,True,5.414681145251964,True,,nasdaq_pm_volume_pct_adv,False,7.369080368353395,18.079999923706055,21.8328835829249,1.5770359695236547,1.83553270566561,0.0,,inf,Google News RSS,14.75,14.88,0.8774890313871129,Nasdaq quote,45.996,0.0,2.422,13.898,11.996,10.0,5.0,2.68,0.0,2,False,"catalyst,pm_volume_strength,spread,score70",WATCH
