rank,ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap,premarket_rvol,premarket_volume_metric_source,premarket_volume_gate_pass,atr_pct,resistance_price,resistance_room_pct,market_relative_strength_pct,sector_relative_strength_pct,catalyst_quality,catalyst_headline,catalyst_age_hours,catalyst_source,bid,ask,spread_pct,spread_source,score,pts_catalyst_quality,pts_relative_premarket_volume,pts_gap_quality,pts_liquidity_dollar_volume,pts_room_to_resistance,pts_atr_suitability,pts_sector_market_relative_strength,pts_execution_spread,premarket_gate_count,premarket_a_grade,premarket_failures,premarket_grade,frozen_at_et,runtime_seconds
11,SRRK,Scholar Rock Holding Corporation - Common Stock,Healthcare,6648258560.0,60194894.26186371,54.44499969482422,57.36,125524.0,7200056.64,11.961241444627927,5.354027590256183,True,True,True,6.515622748562165,True,,nasdaq_pm_volume_pct_adv,True,4.217099753906347,57.790000915527344,0.7496529210727854,5.354027590256183,5.354027590256183,1.0,Scholar Rock Wins FDA Approval for SMA Therapy - TipRanks,0.6891485933333333,Google News RSS,57.33,58.0,1.1618832914246107,Nasdaq quote,74.05,25.0,20.0,15.0,4.231,0.937,3.882,5.0,0.0,5,False,spread,B,2026-09-14T09:24:21.471009-04:00,362.535
12,FIG,"Figma, Inc. Class A Common Stock",Technology,11726217216.0,380213739.0042237,21.709999084472656,23.9775,455815.0,10929304.1625,2.8745158423584973,10.444500281665592,True,True,True,8.538947290432091,True,,nasdaq_pm_volume_pct_adv,True,6.979162430197536,25.020000457763672,4.347827996094966,10.444500281665592,10.444500281665592,1.0,"Nebius Stock Gets A Double Boost Overnight From Cloud Price Hike Buzz, Nvidia Outlook - Stocktwits",10.636370815555555,Google News RSS,23.78,24.0,0.9208874005860145,Nasdaq quote,72.211,25.0,5.749,14.733,11.294,5.435,5.0,5.0,0.0,5,False,spread,B,2026-09-14T09:24:21.471009-04:00,362.535
13,SYRE,"Spyre Therapeutics, Inc. - Common Stock",Healthcare,7623794176.0,104137135.66871414,87.33000183105469,89.9,121407.0,10914489.3,10.480881032412565,2.942858256108982,True,True,True,5.8006230540011625,True,,nasdaq_pm_volume_pct_adv,True,5.687668159469102,92.0999984741211,2.4471618177097643,2.942858256108982,2.942858256108982,0.6,Will Phase 2 UC Data Change Spyre Therapeutics Stock Narrative - simplywall.st,35.545815260000005,Google News RSS,89.5,96.41,7.433704480662683,Nasdaq quote,68.334,15.0,20.0,15.0,6.332,3.059,5.0,3.943,0.0,4,False,"spread,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
14,ZS,"Zscaler, Inc. - Common Stock",Technology,27463303168.0,508664636.6463547,166.10000610351562,172.05,119604.0,20577868.200000003,4.045468608879648,3.582175603760218,True,True,True,6.286077942022524,True,,nasdaq_pm_volume_pct_adv,True,5.386723128658612,177.13999938964844,2.9584419585285904,3.582175603760218,3.582175603760218,0.57,Dominion Stock Clocks Best Day In 6 Years — This Analyst Sees Further Upside After NextEra Merger - Stocktwits,43.886648593333334,Google News RSS,172.17,172.5,0.1914875097919822,Nasdaq quote,66.435,14.25,8.091,15.0,12.41,3.698,5.0,4.582,3.404,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
15,SAP,SAP  SE ADS,Technology,238666366976.0,493334235.0858628,205.84500122070312,214.11,52403.0,11220006.33,2.274321450253134,4.015156418802368,True,True,True,6.316429893354516,True,,nasdaq_pm_volume_pct_adv,True,2.7422480330355268,220.3300018310547,2.905049661881587,4.015156418802368,4.015156418802368,0.75,SAP's Buyback Treadmill and 400 AI Agents Can't Budge a Stock Stuck 26% Below Its Peak - ad-hoc-news.de,6.794426371111111,Google News RSS,214.42,214.56,0.06527110821017985,Nasdaq quote,65.453,18.75,4.549,15.0,12.292,3.631,1.775,5.0,4.456,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
16,PANW,"Palo Alto Networks, Inc. - Common Stock",Technology,277804974080.0,2076934930.3358643,335.375,348.0,345091.0,120091668.0,5.782158422294905,3.7644427879239606,True,True,True,6.816820348491809,True,,nasdaq_pm_volume_pct_adv,True,5.561370724331961,397.30999755859375,14.169539528331532,3.7644427879239606,3.7644427879239606,0.0,,inf,Google News RSS,346.75,347.28,0.15273114995028247,Nasdaq quote,65.055,0.0,11.564,15.0,15.0,10.0,5.0,4.764,3.727,4,False,"catalyst,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
17,NFLX,"Netflix, Inc. - Common Stock",Communication Services,314044317696.0,2160772576.3234696,75.25,78.35,686215.0,53764945.24999999,2.488227860679371,4.119601328903655,True,True,True,6.787506920529884,True,,nasdaq_pm_volume_pct_adv,True,2.6793690755445745,82.69000244140625,5.539250084755909,4.119601328903655,4.119601328903655,0.57,NFLX Stock On Track For Fourth Consecutive Month In The Red As Acquisition Attempts Continue To Fail - Stocktwits,32.50998192666667,Google News RSS,78.24,78.55,0.39543338223101254,Nasdaq quote,64.54,14.25,4.976,15.0,15.0,6.924,1.685,5.0,1.705,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
18,CAPR,"Capricor Therapeutics, Inc. - Common Stock",Healthcare,496797664.0,86438693.16077957,8.555000305175781,8.91,187669.0,1672130.79,1.9344702341690512,4.149616389954347,True,True,True,5.840178984693992,True,,nasdaq_pm_volume_pct_adv,False,11.888726965173499,9.8100004196167,10.101014810512886,4.149616389954347,4.149616389954347,0.8,CAPR Stock Sinks After-Hours: Capricor Launches Legal Fight Over DMD Therapy Rollout Ahead Of FDA Review - Stocktwits,12.26192637111111,Google News RSS,8.86,9.0,1.5677491601343847,Nasdaq quote,64.487,20.0,3.869,15.0,5.618,10.0,5.0,5.0,0.0,3,False,"pm_volume_strength,spread,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
19,DELL,Dell Technologies Inc. Class C Common Stock ,Technology,329319219200.0,3982742234.3614073,526.155029296875,537.97,530885.0,285600203.45,7.170943702707215,2.245530318110589,True,True,True,6.511063381853958,True,,nasdaq_pm_volume_pct_adv,True,6.119963296421535,567.75,5.535624663085303,2.245530318110589,2.245530318110589,0.0,,inf,Google News RSS,539.0,540.0,0.18535681186283595,Nasdaq quote,62.963,0.0,14.342,15.0,15.0,6.92,5.0,3.246,3.455,4,False,"catalyst,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
20,COIN,"Coinbase Global, Inc. - Class A Common Stock",Financial Services,45353566208.0,1695557990.8574402,171.94500732421875,177.55,492300.0,87407865.0,5.1551091423182775,3.259758897920495,True,True,True,6.560475874446841,True,,nasdaq_pm_volume_pct_adv,True,6.375668653801306,189.0,6.448887637285261,3.259758897920495,3.259758897920495,0.0,,inf,Google News RSS,178.18,178.52,0.1906363891225138,Nasdaq quote,61.042,0.0,10.31,15.0,15.0,8.061,5.0,4.26,3.411,4,False,"catalyst,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
21,AZN,AstraZeneca PLC Ordinary Shares,Healthcare,245303623680.0,517145994.6671639,157.86000061035156,163.67,125161.0,20485100.869999997,3.9611833179108826,3.680475970597108,True,True,True,6.321036370842429,True,,nasdaq_pm_volume_pct_adv,True,2.073860273339647,163.9600067138672,0.17718990277215685,3.680475970597108,3.680475970597108,0.6,AstraZeneca COPD Drug Cuts Exacerbations as FDA Priority Review Nears - Yahoo Finance,27.27220414888889,Google News RSS,164.08,164.14,0.036560843336770364,Nasdaq quote,60.811,15.0,7.922,15.0,12.473,0.221,0.82,4.68,4.695,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
22,NAT,Nordic American Tankers Limited Common Stock,Energy,1500253440.0,24368219.0487381,7.108200073242188,7.5,94383.0,707872.5,2.904900430286706,5.511942864870778,True,True,True,6.039024529067251,True,,nasdaq_pm_volume_pct_adv,True,3.6991422524923934,,10.0,5.511942864870778,5.511942864870778,0.8,Egypt eyes $1B Japanese loan for phase 2 of Metro Line 4 - المنصة | ما رواه الناس,20.725259704444447,Google News RSS,7.46,7.64,2.384105960264897,Nasdaq quote,59.718,20.0,5.81,15.0,0.766,10.0,3.142,5.0,0.0,4,False,"spread,score70",WATCH,2026-09-14T09:24:21.471009-04:00,362.535
23,SPSC,"SPS Commerce, Inc. - Common Stock",Technology,2806393856.0,36359592.15116501,77.0199966430664,84.44,14167.0,1196261.48,3.290084979574421,9.63386611313435,True,True,True,7.618998693551257,True,,nasdaq_pm_volume_pct_adv,True,4.323441886914763,89.44000244140625,5.921367173621794,9.63386611313435,9.63386611313435,0.76,SPSC Surges As GTCR Buyout Talks Drive Deal Hype - StocksToTrade,21.68859303777778,Google News RSS,83.68,90.95,8.326175342151974,Nasdaq quote,59.315,19.0,6.58,15.0,2.3,7.402,4.033,5.0,0.0,4,False,"spread,score70",WATCH,2026-09-14T09:24:21.471009-04:00,362.535
24,ADBE,Adobe Inc. - Common Stock,Technology,100412473344.0,1144708885.3240776,249.8600006103516,259.49,222409.0,57712911.410000004,5.041710792142663,3.8541580749717808,True,True,True,6.653267179571641,True,,nasdaq_pm_volume_pct_adv,True,4.028781327977475,275.9100036621094,6.327798243519744,3.8541580749717808,3.8541580749717808,0.0,,inf,Google News RSS,258.8,259.49,0.2662602018175144,Nasdaq quote,59.241,0.0,10.083,15.0,15.0,7.91,3.613,4.854,2.781,4,False,"catalyst,score70",WATCH,2026-09-14T09:24:21.471009-04:00,362.535
25,GOOGL,Alphabet Inc. - Class A Common Stock,Communication Services,4018022907904.0,7360090749.641263,329.1000061035156,343.0,1862116.0,638705788.0,8.677960771490909,4.223638297992682,True,True,True,7.414035421441775,True,,nasdaq_pm_volume_pct_adv,True,2.1336823129342166,343.5299987792969,0.15451859454720385,4.223638297992682,4.223638297992682,0.0,,inf,Google News RSS,342.22,342.23,0.0029220542041028283,Nasdaq quote,58.43,0.0,17.356,15.0,15.0,0.193,0.905,5.0,4.976,4,False,"catalyst,score70",WATCH,2026-09-14T09:24:21.471009-04:00,362.535
