ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility
AAL,"American Airlines Group, Inc. - Common Stock",N,N,13.114999771118164,-0.05238442004887989,-0.20898674116600202,-0.035661808584386945,0.24312791791567112,-0.27741046574301953,0.288310351469258,-0.07976215619988403,-0.1505003916788611,0.5573590482688724,774241109.1496699,0.518710970173891
AAOI,"Applied Optoelectronics, Inc. - Common Stock",N,N,102.83000183105469,-0.09607946641990062,-0.2001399830130839,-0.4770646758023338,-0.03164140251532199,-0.5390856162355153,4.276039150263942,-0.16931900190916982,-0.13746245079177177,0.602425575475681,1403811493.0007942,1.3783028658776038
AAON,"AAON, Inc. - Common Stock",N,N,73.79000091552734,-0.07508144842594244,-0.2078368254773777,-0.44119652245214336,-0.15076494614333447,-0.5019129773984805,0.006047119580164351,-0.1020110006078726,-0.2456213421064346,0.8674470635148731,97828698.65629426,0.5587488920751092
AAPL,Apple Inc. - Common Stock,N,N,324.55999755859375,0.035444201368301176,0.04450127857143338,0.07726965487139892,0.2712667726495728,-0.04481316829376458,0.4363901425479706,0.04035296737948624,0.03570535796028107,0.65191302572404,11932474978.4351,0.3214545054551878
ABCL,AbCellera Biologics Inc. - Common Shares,N,N,11.520000457763672,-0.05882347441324487,0.9459459981925293,1.1254613091520005,2.319884830772624,-0.0783999633789062,3.1438850993961065,0.06733379851970267,0.40268854897447603,0.6905493653305403,107548819.16480713,1.1136380136620512
ABEO,Abeona Therapeutics Inc. - Common Stock,N,N,6.079999923706055,0.0116472033541406,-0.10588238924019788,0.13011148594331945,0.22580642680347784,-0.18498660956893287,0.45803352816952625,-0.04417545453025418,-0.05171877424262472,0.5806271377702452,9920086.503548717,0.5631241425425734
ABNB,"Airbnb, Inc. - Class A Common Stock",N,N,181.27000427246094,-0.03615676496484155,0.1887336726510056,0.34843423453610245,0.4194988927519794,-0.048451421141937345,0.6251569193525672,-0.009331725915498024,0.123774548435307,1.0376424723567914,1029817289.6541786,0.47956787882777396
ABSI,Absci Corporation - Common Stock,N,N,9.169899940490723,-0.0054338747382954855,0.09165480439571216,0.3999846829717306,2.986913100261545,-0.2108519766952197,2.986913100261545,-0.0009364424951041617,-0.014730642936662375,0.568812520424813,25168417.412372015,1.1408056890654286
ABTC,American Bitcoin Corp. - Class A Common Stock,N,N,7.650000095367432,-0.06479219927082391,0.16972479204723112,-0.43396227147363675,-0.5142857082306392,-0.9452201902633952,0.4739884414306621,0.0035419186148129,0.06093807320885514,1.2328790012664295,12401474.859333206,1.0982464367043199
ABUS,Arbutus Biopharma Corporation - Common Stock,N,N,5.150000095367432,-0.00770712165934917,0.1147186629733461,0.21462272956898865,0.1921296043344496,-0.013409903762017006,0.40326975158213796,0.05177168472224625,0.08980872515254434,2.2949592646107515,20420220.36138029,0.42088029824173706
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,N,N,29.579999923706055,0.0,0.027083357892655258,0.3631335891114129,0.3906910807286412,-0.03238468370955794,0.47457630664081574,0.00871285210142414,0.09057124126200833,0.6801673224069231,43151534.42684279,0.35878147737460203
ACB,Aurora Cannabis Inc. - Common Shares,N,N,4.082200050354004,0.020550012588500977,0.40281784534336174,0.1971260843413043,0.1630199605257625,-0.3447511977759029,0.5822481283216885,0.09270689559928158,0.3019112496348759,0.7729834842251765,6703689.237588262,0.5861216005139952
