ticker,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility
AAL,12.788900375366211,-0.02449269944469379,-0.14340923550197893,-0.17277488073673497,0.18415742125056545,-0.29537737497749805,0.25627701296472427,-0.06163680939354721,-0.1448856542256407,0.5697281095482096,795702699.8230197,0.4608699250874553
AAME,1.2799999713897705,-0.04477616454795885,-0.13513516561230887,-0.2888888859454496,-0.509578535311483,-0.6289855206671242,0.0,-0.06261444184627951,-0.1471215511012084,2.7058579628645423,235503.2991284132,0.5889700529638129
AAOI,105.8499984741211,0.026374491352107343,-0.23341543257196673,-0.4474027836714789,0.03855965831809871,-0.5255491009488902,4.430990236899749,-0.09617594951681974,-0.08322912592309062,0.5475455928928856,1056645776.961158,1.3066079484805713
AAON,75.66999816894531,0.015373385680867768,-0.11102711755847772,-0.42277037590918365,-0.052842727218207375,-0.48856700635631545,0.03300351825890968,-0.04622810016246559,-0.18306285851307302,0.8679223618953242,85257745.78234252,0.5358082895501871
AAPG,16.59000015258789,-0.013087407515997684,-0.1254612149137576,-0.0432525947750968,-0.24727770129537008,-0.5899653848743007,0.02218118425787452,-0.053649341778124304,-0.08800553292050983,0.7128928087346378,126715.36639633178,0.5542426986377672
AAPL,319.798095703125,-0.015884711618927683,0.058058215725806495,0.07979858462700773,0.2868282918310612,-0.05882754461997863,0.4153156141512868,0.0154354484012027,0.00904305070247724,0.7184861587175256,12204771686.561066,0.31454723808122426
AARD,4.690000057220459,-0.211764670997577,-0.2861491728036769,0.2213542088672218,-0.04285714980812172,-0.7306145836688449,0.3477011584813503,-0.2353156846842256,-0.25544918301726227,0.4370256909796648,768279.5303177595,1.630988696619467
ABAT,2.609999895095825,-0.06451615384168385,0.035714251924804374,-0.23008855034545728,-0.13861388787449525,-0.7696381365691932,0.2794117372066225,0.011725910561087405,0.044543124926061495,0.9309121595914728,7908221.7453990225,0.6955464929188907
ABCL,10.859999656677246,-0.0440140858372392,0.048768723975419315,1.0646386281594995,2.0764871798006377,-0.13120002746582027,2.9064747368497788,-0.05210790119554398,0.2604749114167797,0.4466572909799519,72244718.7873559,1.111837543917875
ABEO,5.639999866485596,-0.052100832389409435,-0.24396785018160083,-0.005291042223046771,0.242290729928464,-0.24396785018160083,0.3525179288481215,-0.0588235471985199,-0.12157744534431403,0.6116811454141268,8660924.844775487,0.5616841490709453
ABLV,0.949999988079071,-0.08653843949532292,0.2179487473395696,-0.13636366591965787,0.4728682421268269,-0.22764229809144965,0.6379310610603359,0.03003360314457648,0.010036570304146064,0.6387908649044416,26434.965073168278,0.923753246178875
ABNB,166.60000610351562,-0.09090903035413367,-0.07493264680150469,0.19890614604360235,0.27379780300959466,-0.12545928554584973,0.4936346130182203,-0.08962118389515794,0.013003695427172612,1.0276940029699766,833757549.7710083,0.4819687851416195
ABOS,2.7899999618530273,-0.09999998461815574,0.11155377388590848,0.19230771973915384,-0.04452058597406394,-0.1721068081311916,1.2682926167388446,-0.057034236464654,0.07089392360976543,0.5873745186799456,1073333.19243536,0.7599558443934012
ABSI,8.430000305175781,-0.042045440629494446,-0.11263154682360199,0.15955987995772092,1.7370131538939328,-0.2745266447332515,2.665217599976946,-0.07189251700968113,-0.07255621147593005,0.5942609048594036,24292585.407530975,1.120726203488536
ABTC,7.929999828338623,0.007623881023129053,0.1443001478745689,-0.3809524146310759,-0.4816993640862338,-0.9403983491435639,0.5279382930461065,-0.01429461775794072,0.13566383117855563,1.0776329568861234,15189020.330816627,1.2033445616032206
