ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility,retrieved_at,market_cap,avg_volume,revenue_growth,earnings_growth,earnings_q_growth,forward_pe,target_upside,recommendation,sector,industry,sector_rs_60,industry_rs_60,spy_rs_20,spy_rs_60,spy_rs_120,leadership_momentum,leadership_coverage,beaten_down_reversal,reversal_coverage,acceleration_emerging_momentum,acceleration_coverage,data_confidence,best_lens,lens_winner,lens_data_missing,risk_score,final_quant_score,biotech_review,crypto_proxy_review,special_risk_review,current_verification_required,catalyst_status,estimate_revision_status,guidance_status,dilution_financing_status,binary_risk_status
ASST,"Strive, Inc. - Class A Common Stock",N,N,26.94499969482422,0.10793585661757432,1.1747376067947792,0.6163766989504778,1.6262182352563905,-0.8487934895832219,2.7606419871990684,0.2993369501921779,0.7224296164011639,1.9378658418722283,204463908.30275345,0.9195219298452518,2026-09-10T13:46:10.383794+00:00,2551840768.0,5518782,0.946,,,-24.774193,0.09375,1.2,Financial Services,Asset Management,0.5729203587542964,0.6018369575455327,1.1933138676749802,0.6094040586796983,1.4710667378025126,92.058028970971,0.7900000000000001,93.61021880079385,0.8,92.66381423518753,0.74,0.7825,93.61021880079385,beaten_down_reversal,False,61.55013192612137,92.38508782101253,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",N,N,24.1299991607666,0.04640068168277778,0.34879821039729997,0.41028628287528734,0.14143802542313555,-0.6182049083171666,0.8129224943676971,0.05463283836566113,0.2628482554839229,1.0336372982893298,999366388.5684769,0.823764438268316,2026-09-10T14:01:53.168709+00:00,14806191104.0,38636446,21.678,,,26.111702,0.3661980036667345,1.0,Financial Services,Capital Markets,0.36682994267910596,0.4142378349228256,0.3673744712775008,0.40331364260450786,-0.013713472030742357,90.58723383859521,0.8300000000000002,92.19259582343253,0.8300000000000001,91.34778764409818,0.77,0.802,92.19259582343253,beaten_down_reversal,False,56.611147757255935,91.20610390594196,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",N,N,37.290000915527344,0.12353125816398691,0.21544982218388187,0.2863056643649309,0.12726719623456662,-0.4954674730364762,0.496989206902841,0.02593028873821357,0.15566633340255698,0.9587411816241634,172735323.81637573,0.8508161542124472,2026-09-10T13:49:50.024570+00:00,8391283200.0,4143346,1.208,3.375,1.921,24.33704,0.39044868709556657,,Financial Services,Capital Markets,0.2428493241687495,0.29025721641246915,0.23402608306408268,0.2793330240941514,-0.02788430121931129,86.94160800252394,0.9700000000000001,88.97520467513706,1.0000000000000002,82.7022167921665,1.0,0.95625,88.97520467513706,beaten_down_reversal,False,58.88687335092348,88.94229527454243,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
PURR,Hyperliquid Strategies Inc - Common Stock,N,N,11.779999732971191,0.040636046868207654,0.7451851456253618,0.2612419208266539,1.0136752008564485,-0.08183945416825555,2.8000000307636888,0.1111896925053768,0.3956518812498371,1.7026281544433282,289692145.7803416,1.059886849957664,2026-09-10T13:55:36.882531+00:00,2332505344.0,16061140,,,,39.966103,0.6850441051738763,1.33333,Financial Services,Capital Markets,0.2177855806304725,0.26519347287419215,0.7637614065055626,0.2542692805558744,0.8585237034025706,86.52318212708775,0.7200000000000001,77.65724960676889,0.7300000000000002,90.94408399442662,0.6700000000000002,0.6932500000000001,90.94408399442662,acceleration_emerging_momentum,False,50.2094327176781,88.36828393951697,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
OABI,"OmniAb, Inc. - Common Stock",N,N,3.9514000415802,-0.2159920493079901,0.15538010334260055,0.8727015346134641,1.1474999836411168,-0.2159920493079901,1.9054411764834787,-0.07867430937852349,0.2795454231721952,1.2667746005351788,10769440.743172098,1.0839409817474706,2026-09-10T13:54:22.473634+00:00,576472896.0,1254245,2.442,,,-13.440679,1.1185372005044139,1.0,Healthcare,Biotechnology,0.7387065085495217,0.7278176610655931,0.17395636422280136,0.8657288943426846,0.9923484861872389,90.49496084205131,0.7900000000000001,69.97327247476018,0.8,71.88198393477602,0.74,0.7825,90.49496084205131,leadership_momentum,False,59.412104221635886,87.28973366663374,True,False,True,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
BULL,Webull Corporation - Class A Ordinary Shares,N,N,9.354999542236328,0.039444393581814285,0.2196870207537931,0.36370253063591784,0.7751422345530321,-0.3983923197756418,1.0205182097205983,0.043880903238322055,0.16415081991644964,1.2148346261229197,166076373.10195246,0.5892051527701766,2026-09-10T13:47:01.395590+00:00,4953297408.0,12776411,0.533,,,29.68254,0.39037433155080214,1.5,Technology,Software - Application,0.3813036699051883,0.18924874143574555,0.2382632816339939,0.35672989036513836,0.6199907370991542,86.11525289807676,0.8300000000000002,87.24922435277384,0.8300000000000001,87.83363089693339,0.77,0.802,87.83363089693339,acceleration_emerging_momentum,False,53.49109498680738,87.16110966156707,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
FWDI,"Forward Industries, Inc. - Common Stock",N,N,6.460000038146973,0.03194885015217652,0.4681817950296012,0.34024892283775876,0.30505056304355826,-0.8343589733808469,0.8248587875027715,0.13085339364294568,0.3373633680748911,1.3923040385219978,11991530.01855955,0.9198715533624043,2026-09-10T13:50:15.821463+00:00,471143104.0,1559759,3.321,,,32.71795,0.33228840125391845,1.0,Consumer Cyclical,Footwear & Accessories,0.3981226998098303,0.487190646002531,0.48675805590980203,0.3332762825669793,0.14989906558968036,83.76479860453169,0.8300000000000002,88.70807969248176,0.8300000000000001,86.20566983813863,0.77,0.802,88.70807969248176,beaten_down_reversal,False,72.57255936675462,87.0226328157818,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
VSTM,"Verastem, Inc. - Common Stock",N,N,7.659999847412109,-0.04488785409021612,0.10215828167368612,0.9149999618530273,0.31615113771130465,-0.2800752255408314,1.2202897801566501,0.03857363708061845,0.1938902515965717,0.9227493264847808,15360989.904889679,0.7109504026287661,2026-09-10T13:58:58.523467+00:00,685619584.0,2478424,17.754,,,-10.094133,0.9813489023327082,1.11111,Healthcare,Biotechnology,0.7810049357890849,0.7701160883051563,0.12073454255388694,0.9080273215822479,0.16099964025742675,89.4895593251532,0.7900000000000001,82.94707687535156,0.8,67.98225668047706,0.74,0.7825,89.4895593251532,leadership_momentum,False,65.18634564643799,87.01980306672381,True,False,True,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
SM,SM Energy Company Common Stock,N,N,38.28499984741211,0.0057541194480599245,0.1878572102363587,0.352663425374363,0.39730334838511805,0.0,1.2257515378274393,0.05289873572782877,0.17397326046253725,0.8921020160847963,124217291.01037712,0.510647578250674,2026-09-10T14:13:05.900175+00:00,9012290560.0,3838729,1.761,1.539,4.302,5.041279,0.07548165742940083,1.875,Energy,Oil & Gas E&P,0.2356367883328796,0.20418401552643917,0.20643347111655952,0.34569078510358353,0.24215185093124014,85.8512403753055,1.0000000000000002,73.77880219704018,1.0000000000000002,86.81470613626786,1.0,1.0,86.81470613626786,acceleration_emerging_momentum,False,39.445910290237464,86.8977145247177,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
SBET,"Sharplink, Inc. - Common Stock",N,N,8.520000457763672,0.05185185882889276,0.37864088906522086,0.46896554785874645,0.1093750844011101,-0.5571725281123265,0.8684211764639449,0.07575762643155803,0.2627460953272136,0.7743496846575414,71592223.12658548,0.7398339734423635,2026-09-10T13:56:29.111981+00:00,1851049344.0,9395845,15.539,,,71.01167,0.8323620531837492,1.14286,Financial Services,Capital Markets,0.42550920766256506,0.4729170999062847,0.3972171499454217,0.46199290758796696,-0.045776413052767806,85.69968192918671,0.8300000000000002,86.85182525187794,0.8300000000000001,84.74446996362008,0.77,0.802,86.85182525187794,beaten_down_reversal,False,61.77440633245382,86.19062756758954,False,False,False,True,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED,NOT_YET_RESEARCHED
